201208172_T-12-58-58_Dive_01_041.jpg
x,y,label
152,110,0
77,24,0
370,537,1
352,419,0
266,653,2
67,893,3
402,1041,4
82,1069,5
154,1309,5
328,1505,5
567,263,1
773,251,0
583,476,4
528,426,4
543,733,4
539,790,4
633,1137,4
435,1187,2
592,1372,5
764,1263,4
1171,110,0
1036,213,0
1226,377,0
1087,448,0
1216,781,0
1047,820,0
1105,1209,1
1147,1019,0
913,1301,1
839,1283,4
1530,35,2
1291,134,0
1253,335,0
1471,511,0
1320,807,0
1522,690,1
1301,1038,0
1256,1196,4
1570,1420,1
1252,1510,0
1977,239,0
1858,286,0
1749,376,0
1839,520,0
1841,861,3
1718,777,3
1974,1116,6
1815,1203,4
1802,1429,4
1734,1364,4
