201208172_T-14-22-55_Dive_01_126.jpg
x,y,label
25,256,4
154,143,4
369,395,3
189,480,7
172,864,4
350,844,4
309,1080,4
151,1113,4
368,1320,4
234,1379,4
793,56,7
655,19,4
486,382,6
708,572,2
751,897,4
584,713,4
452,1094,4
451,982,4
518,1272,4
817,1222,4
1054,207,1
1222,228,2
1078,594,1
992,539,1
869,848,4
870,701,7
968,929,4
836,983,4
882,1387,3
1050,1331,6
1314,38,4
1622,25,4
1383,477,7
1239,545,1
1564,714,6
1614,917,6
1389,1193,6
1516,1170,6
1300,1416,6
1369,1247,6
1735,45,4
1965,310,4
1886,545,4
2014,513,4
1935,836,6
1971,910,6
1816,1030,6
1800,1009,6
1793,1389,6
1981,1447,3
