201208172_T-12-58-58_Dive_01_041.jpg
x,y,label
192,120,0
160,478,0
131,357,0
54,136,0
5,24,0
68,168,0
141,62,0
83,199,0
77,175,0
22,155,0
164,217,0
340,236,0
274,212,0
267,129,0
163,155,0
301,45,0
179,15,0
229,117,0
91,36,0
180,261,0
669,746,1
372,547,1
466,910,1
879,1002,1
1050,1120,1
18,574,1
765,585,1
605,658,1
699,835,1
711,684,1
129,240,0
528,468,0
474,1016,0
448,980,0
438,517,0
198,645,0
393,363,0
368,630,0
407,642,0
398,670,0
527,511,2
506,958,2
528,590,2
238,443,2
638,544,2
824,1302,2
766,1303,2
757,1271,2
844,1232,2
415,684,2
57,1012,3
65,872,3
168,965,3
81,922,3
150,974,3
6,1110,3
9,1196,3
174,849,3
153,859,3
24,1199,3
428,1065,4
369,981,4
276,1106,4
289,814,4
396,973,4
338,947,4
407,1130,4
475,1089,4
279,990,4
283,1195,4
198,1276,5
259,1210,5
220,1215,5
47,1201,5
200,1226,5
20,1237,5
162,982,5
124,985,5
29,1334,5
97,1316,5
12,987,5
67,987,5
205,830,5
57,1076,5
117,1115,5
20,1052,5
259,1266,5
88,1076,5
77,916,5
92,1120,5
391,1494,5
75,1519,5
143,1389,5
333,1507,5
297,1518,5
285,1423,5
301,1522,5
12,1511,5
144,1385,5
372,1464,5
1319,582,1
1197,348,1
1727,675,1
555,366,1
1480,943,1
1194,913,1
736,176,1
1272,652,1
988,478,1
642,380,1
712,254,0
906,128,0
779,452,0
1961,32,0
1251,967,0
1714,975,0
1089,153,0
1774,587,0
1333,394,0
1361,473,0
485,648,4
381,485,4
373,451,4
713,878,4
525,600,4
532,949,4
738,595,4
509,466,4
646,765,4
478,1003,4
540,934,4
440,959,4
758,1306,4
587,519,4
649,747,4
388,407,4
537,852,4
641,854,4
1020,1098,4
483,598,4
349,799,4
418,724,4
417,839,4
446,755,4
434,836,4
453,800,4
321,895,4
467,717,4
483,725,4
418,733,4
221,392,4
626,641,4
836,1283,4
686,682,4
635,695,4
675,881,4
786,1172,4
550,590,4
256,400,4
756,1278,4
648,1449,4
455,1359,4
703,1167,4
685,1520,4
638,1297,4
406,1527,4
413,1175,4
619,1522,4
564,1203,4
497,1108,4
288,1198,2
332,1135,2
170,1134,2
199,941,2
319,1006,2
430,715,2
402,696,2
263,927,2
397,1213,2
173,1036,2
607,1107,5
363,1386,5
560,1155,5
492,1276,5
584,1503,5
686,1204,5
467,1386,5
498,1214,5
675,1306,5
624,1146,5
578,448,4
939,1110,4
631,819,4
474,302,4
709,837,4
